No.,Title,Year,Rating,Duration (minutes),Rating Amount,Group,Short Description,Directors,Stars
231,The Incredibles,2004,8.0,115,841000,G,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter"
232,Rush,2013,8.1,123,528000,Not Rated,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde"
233,The Sound of Music,1965,8.1,172,272000,Not Rated,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker"
234,Stand by Me,1986,8.1,89,457000,Approved,A writer recounts a childhood journey with his friends to find the body of a missing boy.,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman"
235,Network,1976,8.1,121,176000,PG,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch"
236,Hachi: A Dog's Tale,2009,8.1,93,323000,Not Rated,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.",Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa"
237,My Father and My Son,2005,8.2,112,96000,R,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra"
238,The Handmaiden,2016,8.1,145,183000,Approved,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong"
239,To Be or Not to Be,1942,8.1,99,46000,PG,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack"
240,The Iron Giant,1999,8.1,86,239000,Not Rated,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston"
241,The Battle of Algiers,1966,8.1,121,69000,R,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi"
242,Into the Wild,2007,8.1,148,673000,PG-13,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener"
243,The Grapes of Wrath,1940,8.1,129,103000,Approved,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford,"Henry Fonda, Jane Darwell, John Carradine"
244,Groundhog Day,1993,8.0,101,706000,Not Rated,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott"
245,A Man Escaped,1956,8.2,101,28000,Not Rated,A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,Robert Bresson,"François Leterrier, Charles Le Clainche, Maurice Beerblock"
246,Amores Perros,2000,8.0,154,258000,N/A,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo"
247,The Help,2011,8.1,146,507000,N/A,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,"Viola Davis, Emma Stone, Octavia Spencer"
248,Rebecca,1940,8.1,130,151000,N/A,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders"
249,A Silent Voice: The Movie,2016,8.1,130,113000,N/A,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.","Taichi Ishidate, Naoko Yamada","Miyu Irino, Saori Hayami, Aoi Yûki"
250,Andhadhun,2018,8.2,139,107000,N/A,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte"
