Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3
Princess Mononoke,1997,8.3,133,452000,PG-13,76.0,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,Yôji Matsuda, Yuriko Ishida, Yûko Tanaka
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,95,533000,PG,97.0,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,Peter Sellers, George C. Scott, Sterling Hayden
Citizen Kane,1941,8.3,119,477000,PG,100.0,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,Orson Welles, Joseph Cotten, Dorothy Comingore
The Apartment,1960,8.3,125,206000,Approved,94.0,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Billy Wilder,Jack Lemmon, Shirley MacLaine, Fred MacMurray
North by Northwest,1959,8.3,136,357000,Approved,98.0,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,Cary Grant, Eva Marie Saint, James Mason
Singin' in the Rain,1952,8.3,103,269000,G,99.0,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Stanley Donen, Gene Kelly",Gene Kelly, Donald O'Connor, Debbie Reynolds
To Kill a Mockingbird,1962,8.3,129,341000,Approved,88.0,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,Robert Mulligan,Gregory Peck, John Megna, Frank Overton
A Separation,2011,8.3,123,266000,PG-13,95.0,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,Payman Maadi, Leila Hatami, Sareh Bayat
Ikiru,1952,8.3,143,94000,Not Rated,92.0,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori
Judgment at Nuremberg,1961,8.3,179,89000,Approved,60.0,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Stanley Kramer,Spencer Tracy, Burt Lancaster, Richard Widmark
Double Indemnity,1944,8.3,107,173000,Approved,95.0,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Billy Wilder,Fred MacMurray, Barbara Stanwyck, Edward G. Robinson
The Cranes Are Flying,1957,8.3,95,21000,Not Rated,76.0,"Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.",Mikhail Kalatozov,Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev
Man with a Movie Camera,1929,8.3,68,29000,Not Rated,96.0,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",Dziga Vertov,Mikhail Kaufman, Elizaveta Svilova,
The Rescue,2021,8.3,107,22000,PG,84.0,"A chronicle of the enthralling, against-all-odds story that transfixed the world in 2018: the daring rescue of twelve boys and their coach from deep inside a flooded cave in Northern Thailand.","Jimmy Chin, Elizabeth Chai Vasarhelyi",Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan
Children of Paradise,1945,8.3,189,22000,Not Rated,96.0,The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.,Marcel Carné,Arletty, Jean-Louis Barrault, Pierre Brasseur
The Look of Silence,2014,8.3,103,14000,PG-13,92.0,A family that survived the genocide in Indonesia confronts the men who killed one of their brothers.,Joshua Oppenheimer,Adi Rukun, M.Y. Basrun, Volker Hanisch
Red Beard,1965,8.3,185,22000,Not Rated,90.0,"In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern.",Akira Kurosawa,Toshirô Mifune, Yûzô Kayama, Tsutomu Yamazaki
Hoop Dreams,1994,8.3,170,29000,PG-13,98.0,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,Steve James,William Gates, Arthur Agee, Emma Gates
Samurai Rebellion,1967,8.3,128,15000,Not Rated,90.0,"The mother of a feudal lord's only heir is kidnapped away from her husband by the lord. The husband and his samurai father must decide whether to accept the unjust decision, or risk death to get her back.",Masaki Kobayashi,Toshirô Mifune, Yôko Tsukasa, Gô Katô
Won't You Be My Neighbor?,2018,8.3,95,28000,PG-13,85.0,"An exploration of the life, lessons, and legacy of iconic children's television host Fred Rogers.",Morgan Neville,Fred Rogers, Margaret Whitmer, Tom Junod
Winter on Fire: Ukraine's Fight for Freedom,2015,8.3,102,21000,Not Rated,79.0,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.",Evgeny Afineevsky,His Beatitude Sviatoslav, Said Ismagilov, Bishop Agapit
The Wild Robot,2024,8.2,102,119000,PG,85.0,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Chris Sanders,Lupita Nyong'o, Pedro Pascal, Kit Connor
The Elephant Man,1980,8.2,124,268000,PG,78.0,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,Anthony Hopkins, John Hurt, Anne Bancroft
The Wolf of Wall Street,2013,8.2,180,1700000,R,75.0,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,Leonardo DiCaprio, Jonah Hill, Margot Robbie
Top Gun: Maverick,2022,8.2,130,754000,PG-13,78.0,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",Joseph Kosinski,Tom Cruise, Jennifer Connelly, Miles Teller
No Country for Old Men,2007,8.2,122,1100000,R,92.0,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Ethan Coen, Joel Coen",Tommy Lee Jones, Javier Bardem, Josh Brolin
Spider-Man: No Way Home,2021,8.2,148,930000,PG-13,71.0,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",Jon Watts,Tom Holland, Zendaya, Benedict Cumberbatch
Prisoners,2013,8.2,153,852000,R,70.0,"Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their street.",Denis Villeneuve,Hugh Jackman, Jake Gyllenhaal, Viola Davis
Jurassic Park,1993,8.2,127,1100000,PG-13,68.0,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",Steven Spielberg,Sam Neill, Laura Dern, Jeff Goldblum
Shutter Island,2010,8.2,138,1500000,R,63.0,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,Martin Scorsese,Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo
Batman Begins,2005,8.2,140,1600000,PG-13,70.0,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,Christian Bale, Michael Caine, Ken Watanabe
There Will Be Blood,2007,8.2,158,661000,R,93.0,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,Daniel Day-Lewis, Paul Dano, Ciarán Hinds
The Truman Show,1998,8.2,103,1300000,PG,90.0,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,Peter Weir,Jim Carrey, Ed Harris, Laura Linney
Green Book,2018,8.2,130,617000,PG-13,69.0,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,Viggo Mortensen, Mahershala Ali, Linda Cardellini
Taxi Driver,1976,8.2,114,962000,R,94.0,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,Robert De Niro, Jodie Foster, Cybill Shepherd
Snatch,2000,8.2,102,935000,R,55.0,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,Jason Statham, Brad Pitt, Stephen Graham
1917,2019,8.2,119,713000,R,78.0,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,Dean-Charles Chapman, George MacKay, Daniel Mays
Die Hard,1988,8.2,132,981000,R,72.0,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,Bruce Willis, Alan Rickman, Bonnie Bedelia
The Thing,1982,8.2,109,490000,R,57.0,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,Kurt Russell, Wilford Brimley, Keith David
A Clockwork Orange,1971,8.2,136,903000,R,77.0,Alex DeLarge and his droogs barbarize a decaying near-future.,Stanley Kubrick,Malcolm McDowell, Patrick Magee, Michael Bates
The Sixth Sense,1999,8.2,107,1100000,PG-13,64.0,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",M. Night Shyamalan,Bruce Willis, Haley Joel Osment, Toni Collette
Kill Bill: Vol. 1,2003,8.2,111,1200000,R,69.0,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,Uma Thurman, David Carradine, Daryl Hannah
Casino,1995,8.2,178,584000,R,73.0,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,Robert De Niro, Sharon Stone, Joe Pesci
Indiana Jones and the Last Crusade,1989,8.2,127,831000,PG-13,65.0,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,Harrison Ford, Sean Connery, Alison Doody
Full Metal Jacket,1987,8.2,116,813000,R,78.0,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,Matthew Modine, R. Lee Ermey, Vincent D'Onofrio
A Beautiful Mind,2001,8.2,135,1000000,PG-13,72.0,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",Ron Howard,Russell Crowe, Ed Harris, Jennifer Connelly
L.A. Confidential,1997,8.2,138,635000,R,91.0,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,Kevin Spacey, Russell Crowe, Guy Pearce
Unforgiven,1992,8.2,130,448000,R,85.0,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,Clint Eastwood,Clint Eastwood, Gene Hackman, Morgan Freeman
Finding Nemo,2003,8.2,100,1100000,G,90.0,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Andrew Stanton, Lee Unkrich",Albert Brooks, Ellen DeGeneres, Alexander Gould
Howl's Moving Castle,2004,8.2,119,473000,PG,82.0,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,Chieko Baishô, Takuya Kimura, Tatsuya Gashûin
Gone with the Wind,1939,8.2,238,343000,G,97.0,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Victor Fleming,Clark Gable, Vivien Leigh, Thomas Mitchell
